model,critical_length,minimal_number_of_queries,non_trivial_critical_pairs,non_trivial_deduced_critical_pairs
model30252.csv,14,7,8,3
model107670.csv,15,7,7,2
model9651.csv,13,7,6,2
model73952.csv,16,8,7,2
model93033.csv,16,6,7,2
model95572.csv,19,7,11,4
model75125.csv,16,7,7,1
model79929.csv,15,7,7,1
model86746.csv,14,6,5,2
model91725.csv,11,6,3,1
model79843.csv,14,9,7,1
model87292.csv,15,6,6,2
model28906.csv,14,7,7,3
model1214.csv,11,7,5,1
model5551.csv,14,9,7,2
model17192.csv,12,7,6,2
model114018.csv,16,6,8,3
model99241.csv,14,7,7,3
model60258.csv,12,6,5,1
model87159.csv,16,7,7,3
model101020.csv,16,7,8,2
model42404.csv,11,6,4,1
model14372.csv,14,7,6,2
model102861.csv,11,6,3,2
model118021.csv,13,7,6,1
model50025.csv,16,6,8,3
model76418.csv,14,6,5,1
model13688.csv,14,9,6,1
model54819.csv,13,7,6,2
model113217.csv,16,8,8,1
model92990.csv,17,8,8,1
model100399.csv,17,6,9,4
model7033.csv,15,7,8,3
model104946.csv,15,8,7,2
model92033.csv,15,7,7,2
model45136.csv,15,6,8,3
model111840.csv,15,6,7,2
model58084.csv,15,7,9,2
model32547.csv,15,9,8,2
model120958.csv,18,6,11,6
model29929.csv,12,6,7,2
model102049.csv,15,8,7,2
model45817.csv,14,6,6,2
model6329.csv,15,9,8,2
model119781.csv,14,6,7,3
model83163.csv,16,8,8,1
model74779.csv,17,8,8,3
model45725.csv,15,7,7,2
model18795.csv,16,7,8,4
model89792.csv,17,9,8,2
model122538.csv,17,6,11,5
model31700.csv,15,7,8,3
model90898.csv,17,7,8,3
model118086.csv,12,6,5,1
model21008.csv,13,8,5,1
model113576.csv,16,7,8,3
model57430.csv,14,6,7,3
model104171.csv,14,8,6,1
model71642.csv,12,6,4,1
model95246.csv,15,7,6,1
model97263.csv,15,6,7,2
model17984.csv,12,7,4,1
model17627.csv,14,7,7,2
model74135.csv,16,8,7,1
model100760.csv,14,6,6,2
model7677.csv,12,7,7,2
model75329.csv,19,10,10,2
model46114.csv,12,6,5,2
model28394.csv,12,7,6,1
model109402.csv,13,6,5,1
model106331.csv,15,6,7,2
model87237.csv,15,7,6,2
model111273.csv,17,8,9,2
model9968.csv,12,7,6,1
model79107.csv,14,8,6,2
model71594.csv,12,7,4,1
model99310.csv,14,7,6,1
model82999.csv,18,8,10,3
model33842.csv,13,8,7,1
model113836.csv,17,8,9,3
model80102.csv,16,9,8,2
model1132.csv,12,7,7,2
model17135.csv,14,8,7,1
model32445.csv,13,9,7,1
model86661.csv,14,8,5,1
model115800.csv,12,6,5,2
model2990.csv,14,10,8,1
model92659.csv,17,8,8,1
model85942.csv,17,9,8,2
model38751.csv,14,7,6,2
model113450.csv,16,6,8,4
model32691.csv,16,6,9,4
model70970.csv,16,7,8,1
model74230.csv,13,6,5,2
model51847.csv,17,9,10,1
model11503.csv,13,7,5,1
model89780.csv,14,7,5,1
model51025.csv,14,7,7,2
model102639.csv,16,10,9,1
model84264.csv,16,8,8,2
model6721.csv,12,6,5,1
model78433.csv,13,8,5,1
model41291.csv,13,7,6,1
model34121.csv,13,7,8,2
model73568.csv,16,8,7,1
model18739.csv,15,11,8,1
model16485.csv,13,7,5,2
model110997.csv,16,6,8,3
model12582.csv,15,10,8,1
model26086.csv,14,8,8,2
model28147.csv,11,8,4,1
model28690.csv,14,6,7,2
model22829.csv,14,7,7,3
model12086.csv,14,7,6,1
model103910.csv,14,6,6,2
model11858.csv,12,6,5,1
model77358.csv,18,6,10,4
model42732.csv,14,8,7,2
model89454.csv,14,7,5,1
model86890.csv,17,6,8,3
model25763.csv,15,9,9,2
model84206.csv,15,7,7,2
model61101.csv,15,7,7,4
model97145.csv,15,6,7,1
model24947.csv,11,6,6,1
model29623.csv,12,7,7,1
model66907.csv,14,7,5,2
model48460.csv,15,6,7,3
model18605.csv,12,6,5,2
model57593.csv,12,6,5,1
model17230.csv,11,7,4,1
model31992.csv,11,7,4,1
model48033.csv,15,7,7,1
model14936.csv,13,6,5,2
model103221.csv,11,6,3,2
model84999.csv,13,8,4,1
model61245.csv,13,7,5,1
model39088.csv,17,7,9,3
model11209.csv,13,7,5,1
model21354.csv,16,6,8,6
model38798.csv,14,7,7,2
model36029.csv,13,7,6,1
model33950.csv,13,8,7,1
model59579.csv,13,6,5,1
model66315.csv,14,6,5,1
model69819.csv,15,6,7,3
model12609.csv,13,7,6,2
model36196.csv,13,7,6,1
model93656.csv,15,7,6,2
model44279.csv,15,7,7,1
model15161.csv,13,9,7,1
model26807.csv,13,7,7,2
model19874.csv,13,8,6,1
model98369.csv,14,7,7,2
model69650.csv,13,8,5,1
model25636.csv,12,7,7,2
model34746.csv,12,7,7,1
model116621.csv,15,7,8,2
model98061.csv,14,6,6,1
model4926.csv,15,9,8,2
model40042.csv,12,7,4,1
model115059.csv,16,7,9,3
model90811.csv,18,6,9,4
model105627.csv,12,6,4,1
model29988.csv,15,7,10,4
model79314.csv,14,6,7,3
model100117.csv,11,6,4,1
model97861.csv,17,8,9,3
model62659.csv,15,8,7,2
model26172.csv,13,6,6,2
model76976.csv,16,7,7,2
model25155.csv,14,10,8,1
model96878.csv,15,7,7,1
model23806.csv,12,8,4,1
model6602.csv,13,6,6,3
model70499.csv,12,6,5,1
model44597.csv,15,7,8,3
model27578.csv,12,6,6,2
model51001.csv,14,9,7,1
model90999.csv,17,6,8,3
model69389.csv,13,8,5,1
model14127.csv,13,8,6,1
model14522.csv,11,7,4,1
model84788.csv,13,6,6,1
model67247.csv,13,8,5,1
model106045.csv,13,6,5,1
model88829.csv,13,6,6,2
model54479.csv,15,6,7,2
model114080.csv,16,7,8,3
model122480.csv,19,12,13,1
model69577.csv,13,7,5,1
model117387.csv,14,6,7,3
model11775.csv,13,8,5,1
model3207.csv,14,9,9,2
model75002.csv,16,9,7,1
model83868.csv,17,9,9,1
model94750.csv,18,8,9,3
model8539.csv,12,7,6,1
model4490.csv,14,8,7,2
model27113.csv,12,6,6,2
model64987.csv,14,7,6,1
model31117.csv,12,7,6,1
model43781.csv,16,9,8,2
model10031.csv,11,6,5,2
model13360.csv,12,8,4,1
model112458.csv,17,7,9,3
model123397.csv,16,9,10,2
model26447.csv,14,6,7,3
model94982.csv,15,6,7,2
model31774.csv,13,8,7,1
model121139.csv,18,7,11,5
model39768.csv,13,9,5,1
model713.csv,12,7,5,2
model13691.csv,13,8,5,1
model67990.csv,17,7,8,3
model94350.csv,18,8,9,3
model109643.csv,18,7,10,4
model29561.csv,10,5,5,1
model40299.csv,16,9,8,1
model6256.csv,15,7,8,4
model115103.csv,19,6,12,6
model44266.csv,14,6,7,2
model3632.csv,11,7,5,1
model73826.csv,15,6,6,2
model21542.csv,15,7,7,3
model75301.csv,18,7,9,4
model75570.csv,14,6,5,1
model113852.csv,16,7,8,3
model23550.csv,16,7,8,2
model86944.csv,14,6,6,3
model47555.csv,14,6,7,4
model46552.csv,16,6,8,3
model20193.csv,12,7,4,1
model50564.csv,12,6,6,1
model77988.csv,11,7,4,1
model41102.csv,18,6,10,5
model51323.csv,14,8,7,1
model82208.csv,17,8,9,2
model27020.csv,13,6,8,3
model68346.csv,15,8,6,1
model20067.csv,11,7,4,1
model98571.csv,14,6,7,2
model14071.csv,13,6,5,2
model92811.csv,16,6,7,1
model78824.csv,13,6,5,1
model64745.csv,13,7,4,1
model51397.csv,12,7,6,1
model26808.csv,14,7,8,2
model82269.csv,12,6,4,1
model59446.csv,12,6,5,1
model19254.csv,14,9,6,1
model5383.csv,12,6,5,2
model29104.csv,15,10,9,1
model33181.csv,11,7,5,1
model106494.csv,14,7,6,1
model122365.csv,13,7,7,2
model41989.csv,13,7,5,1
model32019.csv,11,6,4,1
model112630.csv,16,6,8,2
model75916.csv,17,6,8,3
model109814.csv,19,9,11,2
model106869.csv,14,8,7,1
model97182.csv,16,7,8,3
model14557.csv,13,7,5,1
model83397.csv,14,7,6,2
model11064.csv,11,7,4,1
model58226.csv,14,7,8,2
model15760.csv,14,7,7,1
model70109.csv,15,8,7,1
model110812.csv,16,8,8,2
model51845.csv,17,9,10,1
model36980.csv,13,8,7,1
model102515.csv,14,8,6,1
model77099.csv,18,8,9,3
model1406.csv,13,7,6,2
model92596.csv,17,9,8,2
model11336.csv,13,7,6,1
model86335.csv,14,6,5,2
model66557.csv,14,7,5,2
model19049.csv,15,9,8,1
model45761.csv,18,7,10,5
model37530.csv,15,8,8,2
model80203.csv,15,7,8,3
model29591.csv,12,6,7,2
model44852.csv,15,7,8,2
model27511.csv,13,8,8,2
model40964.csv,12,7,4,1
model74551.csv,16,10,7,1
model60094.csv,12,7,4,2
model33933.csv,12,7,6,1
model19953.csv,14,8,8,1
model31296.csv,16,6,9,4
model22914.csv,16,6,8,4
model74432.csv,15,6,7,2
model9881.csv,13,6,6,3
model118461.csv,14,7,7,2
model23145.csv,13,7,6,2
model23494.csv,17,7,9,3
model119489.csv,12,6,5,2
model71059.csv,17,7,9,2
model56725.csv,14,8,7,1
model107729.csv,14,7,6,1
model42388.csv,13,6,6,1
model38307.csv,13,7,5,1
model50065.csv,19,10,11,3
model80397.csv,14,8,6,1
model19159.csv,15,6,7,2
model72471.csv,15,9,6,1
model102760.csv,14,8,6,1
model111910.csv,14,6,6,1
model111396.csv,13,6,5,2
model79587.csv,14,10,6,1
model119107.csv,15,6,8,2
model18023.csv,13,8,6,1
model67705.csv,14,6,5,2
model25704.csv,11,6,5,2
model84382.csv,16,7,8,2
model70659.csv,17,7,9,4
model74621.csv,16,6,7,3
model64447.csv,13,6,5,2
model2453.csv,13,7,7,1
model84548.csv,15,7,8,2
model60753.csv,13,7,5,2
model33511.csv,13,6,7,2
model103324.csv,14,9,6,1
model13384.csv,14,9,6,1
model59684.csv,12,7,4,1
model56418.csv,13,7,6,1
model117531.csv,15,7,8,3
model102136.csv,18,10,10,2
model117873.csv,16,7,9,4
model8618.csv,13,9,7,1
model115595.csv,15,8,8,2
model85803.csv,13,7,4,1
model48283.csv,16,8,8,2
model62765.csv,13,6,5,1
model44730.csv,15,8,8,2
model17718.csv,13,7,7,1
model96188.csv,16,6,8,2
model95003.csv,17,7,8,3
model54521.csv,16,8,8,2
model95893.csv,13,6,5,1
model109797.csv,17,6,9,5
model48467.csv,15,6,7,2
model96786.csv,16,6,8,3
model84566.csv,16,8,9,1
model2322.csv,12,6,5,2
model81778.csv,15,7,7,1
model30422.csv,14,7,7,3
model36469.csv,14,7,7,2
model463.csv,11,7,4,1
model122524.csv,17,6,11,5
model8463.csv,11,6,6,1
model123791.csv,13,7,7,1
model109701.csv,15,8,7,1
model9247.csv,11,8,5,1
model41001.csv,17,6,9,4
model13234.csv,14,6,6,3
model37642.csv,13,7,7,1
model18405.csv,13,8,7,1
model18079.csv,14,8,6,1
model68843.csv,19,7,10,5
model98782.csv,12,7,5,1
model22041.csv,12,7,6,1
model23643.csv,14,8,6,1
model114268.csv,17,6,9,3
model43291.csv,13,8,6,1
model89476.csv,15,8,6,2
model55245.csv,13,6,6,2
model3565.csv,13,6,7,3
model104368.csv,14,7,6,1
model31680.csv,15,7,8,2
model36265.csv,16,6,9,5
model32470.csv,14,6,8,3
model117866.csv,16,8,9,2
model113987.csv,18,8,10,3
model91297.csv,14,7,5,1
model37368.csv,17,9,10,2
model25339.csv,15,7,8,3
model76122.csv,15,7,6,2
model24852.csv,10,6,4,1
model46910.csv,11,6,4,1
model79239.csv,15,6,7,2
model113619.csv,17,7,9,3
model114280.csv,15,8,7,1
model106872.csv,14,6,7,1
model70198.csv,14,6,6,2
model107650.csv,15,7,7,1
model79278.csv,13,7,6,1
model113762.csv,20,9,12,3
model117373.csv,14,6,7,2
model64617.csv,15,7,6,2
model90353.csv,15,7,6,1
model25780.csv,14,7,8,4
model44532.csv,13,8,6,1
model30664.csv,16,8,9,3
model102074.csv,15,9,7,2
model51306.csv,13,6,6,1
model32637.csv,15,8,8,2
model121510.csv,19,8,12,5
model75083.csv,14,6,5,2
model77027.csv,20,7,11,4
model24438.csv,12,6,5,2
model59548.csv,13,7,5,1
model12831.csv,12,7,5,1
model65215.csv,12,6,4,2
model103671.csv,14,6,6,2
model50293.csv,14,7,6,1
model100839.csv,16,7,8,2
model71027.csv,15,8,7,1
model85156.csv,15,7,7,2
model48397.csv,15,6,7,4
model124094.csv,14,7,8,1
model31939.csv,15,7,9,5
model36895.csv,13,7,6,1
model48098.csv,14,7,6,2
model15064.csv,14,7,6,1
model117604.csv,15,6,8,4
model78827.csv,15,8,7,2
model67952.csv,17,6,8,4
model26139.csv,11,6,4,1
model11995.csv,14,8,7,2
model111705.csv,18,8,10,3
model89481.csv,16,7,7,1
model51493.csv,13,7,7,2
model7946.csv,12,7,7,2
model90649.csv,16,7,7,3
model100222.csv,13,7,5,1
model119208.csv,17,7,10,3
model31938.csv,15,9,9,2
model95164.csv,18,9,9,3
model89600.csv,17,7,8,2
model107439.csv,14,7,6,1
model59379.csv,13,8,5,1
model1631.csv,11,7,5,1
model41023.csv,16,6,8,3
model108608.csv,17,7,9,3
model77277.csv,16,8,7,1
model118683.csv,15,6,8,2
model26697.csv,12,8,6,1
model74043.csv,16,7,7,2
model107229.csv,16,7,9,2
model12681.csv,14,7,7,2
model117482.csv,15,7,8,2
model47544.csv,14,8,7,2
model38673.csv,16,9,8,1
model67102.csv,15,8,6,1
model110965.csv,13,8,5,1
model90020.csv,17,7,8,3
model44527.csv,14,7,7,2
model82393.csv,14,6,6,1
model36392.csv,14,6,7,2
model38831.csv,16,9,9,2
model121837.csv,18,6,11,5
model103076.csv,15,7,7,2
model119148.csv,17,8,10,3
model97033.csv,14,6,6,2
model89546.csv,16,9,7,2
model80798.csv,12,7,5,1
model76180.csv,16,8,7,2
model37852.csv,12,6,6,1
model73150.csv,14,9,5,1
model117817.csv,14,6,7,2
model58464.csv,14,6,8,3
model94896.csv,16,9,7,1
model62571.csv,14,7,6,2
model22121.csv,12,7,6,1
model97420.csv,15,7,7,2
model34751.csv,13,8,8,1
model16826.csv,12,7,5,1
model80607.csv,14,7,6,1
model57563.csv,15,7,8,2
model85938.csv,17,7,8,3
model59223.csv,13,7,6,1
model35273.csv,11,6,5,1
model73957.csv,17,7,8,3
model73902.csv,15,7,6,2
model103498.csv,18,8,10,4
model94214.csv,19,6,10,5
model67818.csv,16,7,7,3
model23291.csv,17,7,9,5
model14879.csv,12,8,5,1
model82931.csv,19,8,11,4
model79325.csv,13,7,7,2
model27817.csv,15,6,9,5
model112552.csv,17,7,9,2
model33706.csv,14,8,8,2
model112228.csv,16,10,8,1
model10608.csv,13,8,6,1
model21752.csv,15,6,8,3
model14943.csv,17,7,9,3
model43480.csv,14,6,6,2
model88258.csv,14,7,5,1
model20492.csv,16,8,9,3
model71695.csv,15,6,7,2
model110421.csv,16,8,8,2
model72202.csv,16,6,8,4
model75386.csv,15,6,6,2
model77818.csv,13,6,6,2
model90773.csv,18,7,9,5
model50553.csv,11,6,5,1
model20319.csv,12,7,5,1
model109845.csv,17,6,9,3
model36610.csv,10,6,4,1
model48021.csv,14,6,6,2
model103398.csv,15,7,7,2
model46239.csv,14,6,6,2
model90978.csv,17,6,8,3
model114945.csv,16,6,9,3
model61899.csv,12,6,4,1
model90234.csv,15,6,6,3
model86220.csv,14,6,5,2
model92955.csv,16,7,7,2
model64566.csv,12,7,3,1
model49339.csv,15,7,7,2
model114120.csv,17,7,9,4
model78319.csv,10,7,4,1
model82325.csv,16,6,8,3
model79721.csv,15,6,7,3
model27825.csv,15,10,8,1
model87561.csv,13,7,4,1
model65926.csv,14,7,5,2
model35788.csv,15,7,8,2
model51351.csv,16,8,9,3
model33003.csv,15,9,8,2
model30805.csv,15,7,8,2
model115865.csv,16,7,9,2
model117358.csv,14,7,7,1
model41924.csv,12,7,4,1
model112336.csv,15,7,7,2
model25473.csv,12,8,5,1
model20151.csv,15,7,7,3
model87252.csv,15,6,6,2
model47982.csv,14,7,6,1
model61321.csv,13,7,6,2
model10380.csv,12,6,5,1
model49955.csv,17,6,9,4
model34364.csv,15,9,9,2
model71815.csv,12,7,3,1
model12690.csv,12,8,6,1
model114133.csv,18,6,10,5
model51185.csv,13,8,6,1
model30435.csv,14,7,7,3
model120263.csv,16,7,9,2
model110162.csv,12,6,4,1
model26774.csv,14,8,8,2
model40190.csv,15,6,7,2
model14194.csv,15,10,8,1
model118810.csv,15,7,8,2
model40956.csv,14,6,6,2
model71967.csv,13,7,4,2
model85734.csv,15,8,6,2
model23269.csv,14,7,6,3
model33410.csv,12,9,6,1
model54420.csv,11,7,4,1
model80331.csv,11,8,3,1
model53407.csv,15,9,7,1
model67671.csv,13,6,4,2
model37284.csv,15,7,8,2
model93352.csv,17,6,8,3
model6868.csv,14,7,7,3
model38862.csv,13,7,6,1
model17301.csv,13,6,6,3
model36756.csv,12,8,5,1
model71668.csv,12,8,5,1
model79695.csv,16,8,8,2
model28428.csv,14,7,8,4
model87999.csv,15,7,6,1
model46530.csv,14,6,6,2
model44149.csv,15,6,7,2
model99978.csv,14,6,6,2
model101520.csv,14,6,6,2
model43033.csv,14,6,6,3
model53766.csv,11,6,4,1
model112378.csv,15,7,7,2
model98263.csv,16,8,9,2
model83976.csv,16,7,8,2
model46256.csv,15,9,7,1
model108894.csv,16,8,8,2
model39711.csv,13,7,5,2
model23328.csv,14,6,6,3
model79094.csv,13,7,5,1
model12789.csv,13,6,6,3
model71274.csv,14,8,7,1
model68353.csv,15,7,6,1
model79895.csv,13,7,5,1
model3818.csv,11,7,6,1
model43634.csv,14,7,6,2
model113196.csv,15,7,7,1
model92889.csv,15,6,6,3
model34383.csv,15,9,9,2
model47414.csv,16,6,8,3
model56405.csv,14,7,7,2
model67026.csv,16,8,7,2
model33724.csv,13,7,7,2
model80789.csv,12,7,5,1
model72136.csv,16,8,7,2
model6233.csv,12,6,6,3
model93322.csv,18,7,9,2
model30388.csv,15,6,8,4
model110348.csv,15,6,7,3
model3104.csv,13,7,8,2
model47410.csv,17,9,9,2
model105521.csv,16,8,8,2
model33848.csv,15,9,9,1
model18066.csv,14,7,6,3
model67069.csv,15,8,6,1
model95604.csv,21,8,13,6
model94621.csv,15,7,6,1
model124183.csv,12,6,6,1
model26222.csv,16,7,9,4
model58768.csv,13,9,5,1
model14933.csv,16,8,8,3
model116825.csv,12,6,5,2
model97024.csv,14,7,6,1
model95992.csv,15,6,7,3
model22529.csv,12,7,6,1
model59184.csv,11,6,4,2
model15446.csv,12,7,5,1
model74852.csv,18,9,9,1
model56932.csv,13,7,6,1
model60953.csv,14,7,7,2
model102257.csv,13,7,6,2
model36578.csv,11,6,4,1
model13128.csv,14,7,6,2
model99083.csv,14,8,6,2
model51248.csv,13,6,6,1
model78077.csv,14,7,7,3
model36380.csv,13,7,6,1
model95320.csv,18,7,10,3
model77652.csv,17,7,9,3
model82143.csv,17,10,9,1
model120970.csv,17,6,10,5
model13825.csv,13,6,6,2
model17865.csv,12,6,5,2
model64656.csv,14,8,6,1
model6441.csv,12,8,5,1
model79475.csv,13,6,5,1
model100733.csv,13,7,5,1
model22100.csv,12,6,5,2
model59580.csv,13,7,5,1
model73917.csv,15,6,6,2
model5278.csv,13,6,6,2
model105332.csv,13,6,5,1
model28646.csv,12,8,6,1
model76726.csv,18,6,9,4
model39736.csv,15,7,7,3
model95317.csv,18,6,10,5
model118629.csv,14,7,7,1
model59912.csv,11,6,3,1
model67867.csv,16,6,7,3
model98848.csv,13,7,6,2
model92069.csv,16,7,8,1
model21259.csv,14,8,6,1
model95820.csv,13,6,5,2
model80186.csv,14,8,7,1
model77591.csv,18,6,10,4
model17384.csv,13,6,6,2
model82921.csv,17,6,9,4
model27213.csv,13,7,8,2
model12899.csv,12,8,5,1
model15377.csv,13,7,6,2
model63947.csv,14,7,6,1
model78285.csv,13,8,6,1
model50092.csv,16,8,8,2
model28936.csv,14,6,8,4
model96633.csv,15,7,7,3
model31568.csv,16,7,9,4
model51955.csv,17,9,10,1
model37474.csv,15,8,8,1
model73017.csv,18,6,9,5
model73001.csv,14,6,5,2
model36945.csv,15,8,8,1
model74632.csv,17,7,8,3
model23351.csv,15,6,7,4
model11366.csv,12,6,5,2
model81230.csv,14,8,7,1
model113406.csv,13,6,5,1
model111099.csv,16,7,8,2
model107532.csv,11,6,4,1
model79040.csv,14,6,6,2
model51068.csv,13,6,6,2
model105113.csv,13,6,5,2
model95128.csv,19,6,10,4
model47141.csv,16,6,8,4
model114966.csv,15,6,8,3
model93195.csv,19,7,10,3
model47648.csv,12,7,4,2
model63010.csv,13,7,5,1
model93871.csv,16,9,7,1
model120528.csv,13,6,6,2
model69276.csv,12,6,4,1
model46315.csv,15,6,8,4
model54033.csv,14,7,6,1
model118704.csv,15,6,8,3
model58581.csv,10,7,3,1
model53627.csv,17,9,9,1
model31999.csv,12,6,5,2
model77635.csv,18,9,10,2
model107247.csv,14,8,7,1
model123660.csv,14,8,8,2
model51078.csv,14,6,7,3
model100089.csv,15,7,7,2
model104174.csv,14,7,6,2
model80339.csv,13,6,5,3
model50423.csv,12,8,5,1
model7780.csv,11,6,6,2
model91066.csv,16,6,8,3
model92398.csv,16,6,7,3
model72648.csv,16,6,7,3
model101575.csv,15,7,7,1
model20932.csv,15,9,8,2
model13837.csv,16,8,8,2
model89511.csv,15,7,6,2
model24562.csv,14,7,6,1
model76756.csv,18,9,9,3
model17442.csv,13,7,6,2
model112423.csv,18,7,10,3
model44645.csv,15,7,8,2
model9788.csv,14,6,7,2
model37643.csv,13,6,7,2
model37102.csv,17,7,10,4
model53328.csv,15,7,7,2
model86008.csv,19,7,10,4
model50821.csv,13,6,7,3
model100186.csv,14,6,6,2
model95609.csv,21,8,13,5
model58177.csv,15,6,9,3
model59281.csv,12,6,4,2
model68007.csv,15,7,6,2
model13524.csv,14,6,7,3
model71216.csv,16,7,9,2
model99787.csv,13,7,5,1
model111503.csv,16,8,8,2
model116772.csv,13,6,6,2
model6707.csv,14,6,7,3
model60294.csv,13,8,5,1
model55513.csv,12,6,5,1
model25889.csv,12,7,6,1
model5509.csv,11,6,5,2
model83275.csv,13,6,5,1
model111367.csv,14,6,6,2
model121251.csv,18,6,11,5
model43960.csv,13,8,5,2
model58350.csv,17,10,11,2
model33469.csv,12,7,6,1
model59724.csv,12,6,4,1
model51019.csv,13,6,6,2
model2705.csv,11,6,5,1
model91925.csv,14,8,6,1
model121525.csv,20,9,13,4
model116731.csv,14,8,7,1
model46751.csv,18,7,10,4
model35387.csv,11,6,4,1
model23051.csv,12,7,4,1
model37229.csv,16,8,9,2
model100269.csv,14,7,6,2
model116108.csv,14,7,7,2
model94370.csv,18,7,9,4
model108070.csv,17,7,9,2
model118040.csv,13,8,6,1
model45822.csv,15,8,7,1
model24968.csv,11,6,5,2
model116831.csv,13,6,6,2
model55771.csv,12,6,5,1
model60786.csv,14,7,6,2
model47595.csv,13,7,6,2
model58583.csv,12,7,5,2
model97076.csv,14,6,6,2
model30470.csv,12,6,5,1
model73870.csv,16,7,7,2
model34697.csv,14,9,8,1
model12106.csv,11,7,3,1
model72149.csv,11,7,3,1
model83688.csv,18,9,10,2
model83352.csv,12,7,4,1
model68001.csv,15,6,6,1
model77316.csv,15,7,7,1
model123158.csv,15,7,9,2
model90455.csv,15,6,6,2
model27140.csv,12,6,6,2
model116437.csv,17,8,10,3
model97174.csv,16,8,8,2
model46631.csv,17,9,9,1
model116775.csv,14,6,7,1
model21904.csv,15,6,7,2
model34575.csv,13,8,7,1
model57745.csv,17,9,10,3
model118997.csv,15,7,8,2
model76901.csv,16,8,7,1
model49576.csv,16,8,8,1
model80343.csv,12,7,4,2
model14567.csv,14,8,6,1
model108752.csv,15,7,7,2
model112477.csv,18,6,10,5
model108662.csv,16,6,8,3
model82541.csv,14,6,6,3
model44120.csv,16,9,8,1
model75804.csv,17,6,8,4
model9943.csv,11,7,5,1
model53956.csv,13,6,5,1
model42009.csv,15,6,7,2
model113014.csv,17,7,9,2
model8939.csv,12,7,5,1
model82677.csv,13,7,5,1
model9904.csv,13,7,6,1
model50966.csv,13,6,6,2
model81627.csv,16,7,8,4
model48844.csv,13,6,5,2
model62619.csv,15,7,7,2
model85200.csv,15,7,6,3
model119567.csv,15,6,8,3
model66615.csv,15,8,6,1
model92798.csv,15,6,6,2
model39436.csv,12,7,5,1
model100130.csv,13,7,6,1
model68054.csv,15,7,6,2
model67184.csv,13,7,5,1
model38223.csv,14,9,6,1
model122105.csv,16,8,9,2
model37084.csv,15,7,8,3
model88396.csv,18,6,9,3
model7779.csv,10,6,5,1
model123107.csv,14,7,8,2
model96321.csv,14,7,6,2
model39513.csv,13,6,6,2
model74748.csv,16,7,7,4
model14392.csv,15,7,7,3
model117056.csv,15,8,8,2
model62665.csv,15,8,7,1
model112276.csv,16,6,8,4
model70858.csv,16,7,8,2
model110833.csv,16,7,8,1
model88731.csv,13,6,5,1
model78389.csv,14,8,7,1
model52766.csv,15,6,7,2
model50200.csv,15,7,7,1
model64223.csv,15,8,8,1
model77534.csv,13,6,5,1
model88622.csv,15,7,7,1
model3981.csv,13,9,7,1
model33622.csv,12,7,7,1
model5781.csv,13,8,6,1
model86883.csv,16,9,7,2
model11183.csv,13,8,6,1
model14568.csv,12,7,4,1
model29960.csv,13,6,8,3
model16891.csv,14,8,7,1
model79627.csv,13,6,6,2
model101802.csv,11,6,4,1
model93156.csv,18,9,9,1
model23230.csv,15,8,8,2
model29744.csv,14,6,8,3
model48269.csv,16,8,8,2
model98734.csv,16,9,8,2
model121112.csv,13,6,6,2
model33097.csv,12,7,5,1
model117295.csv,15,6,8,3
model99230.csv,15,7,7,3
model8532.csv,11,7,5,1
model115069.csv,16,6,9,4
model80962.csv,15,9,8,2
model34116.csv,13,7,8,2
model111279.csv,14,6,6,2
model123668.csv,16,8,10,2
model116715.csv,13,6,6,1
model87375.csv,16,6,7,3
model26409.csv,14,7,7,2
model119665.csv,16,6,9,3
model97322.csv,15,9,7,1
model47467.csv,15,8,7,1
model46762.csv,17,8,9,4
model80802.csv,11,6,4,1
model48996.csv,14,8,6,1
model100273.csv,15,7,7,2
model38065.csv,14,7,7,2
model73639.csv,16,8,7,1
model104154.csv,13,7,5,2
model117398.csv,12,7,5,1
model48298.csv,17,6,9,5
model78785.csv,13,6,5,2
model100845.csv,15,7,7,2
model15951.csv,12,7,4,2
model99666.csv,13,6,6,1
model31044.csv,12,7,6,1
model1033.csv,11,7,5,1
model12692.csv,11,7,5,1
model34305.csv,14,6,8,3
model93072.csv,16,6,7,3
model71079.csv,17,7,9,3
model24199.csv,12,7,4,2
model97367.csv,12,6,5,1
model87160.csv,16,8,7,2
model88405.csv,17,6,8,3
model26548.csv,14,7,7,1
model64876.csv,15,7,6,1
model77956.csv,14,6,6,2
model16122.csv,14,7,6,2
model41684.csv,14,7,6,2
model24953.csv,13,8,8,2
model95622.csv,19,7,11,5
model107870.csv,15,6,7,2
model93060.csv,14,6,5,2
model44338.csv,16,8,8,3
model10666.csv,12,7,6,1
model108700.csv,15,7,7,2
model15492.csv,12,7,6,2
model108041.csv,19,6,11,6
model121340.csv,15,6,8,3
model35604.csv,13,6,6,2
model3611.csv,9,5,4,1
model23006.csv,15,6,7,3
model92048.csv,19,6,11,5
model55362.csv,14,7,7,1
model27746.csv,12,8,6,1
model60979.csv,14,7,6,2
model108332.csv,15,6,7,3
model50990.csv,14,7,7,2
model55978.csv,15,8,8,2
model58555.csv,9,6,3,1
model72918.csv,14,6,5,1
model73148.csv,14,8,5,2
model50556.csv,11,6,5,1
model69138.csv,13,6,5,1
model49483.csv,13,7,5,1
model83117.csv,14,7,6,1
model115144.csv,17,8,10,3
model42390.csv,10,6,4,1
model37323.csv,16,8,9,2
model12114.csv,12,7,4,2
