model,critical_length,minimal_number_of_queries,number_of_non_explainable,all_explainable_minimal_number_of_queries
model74136.csv,16,6,16,22
model49539.csv,14,7,6,13
model35596.csv,14,7,17,24
model9802.csv,12,7,15,22
model51542.csv,12,8,22,30
model28555.csv,11,7,8,15
model104496.csv,16,6,14,20
model115448.csv,14,6,10,16
model98103.csv,16,6,19,25
model47097.csv,15,7,18,25
model50993.csv,14,7,21,28
model93394.csv,18,6,16,22
model85383.csv,15,7,6,13
model82075.csv,16,6,16,22
model95481.csv,17,6,19,25
model104269.csv,15,7,13,20
model105921.csv,16,6,15,21
model60276.csv,14,7,13,20
model122965.csv,13,6,22,28
model18456.csv,12,6,13,19
model84882.csv,14,6,7,13
model30459.csv,12,9,5,14
model6046.csv,10,7,3,10
model67769.csv,14,6,12,18
model70649.csv,17,8,12,20
model56470.csv,10,7,7,14
model50592.csv,13,7,8,15
model244.csv,10,6,13,19
model78231.csv,14,7,11,18
model75268.csv,18,6,17,23
model50431.csv,11,7,10,17
model21670.csv,14,7,19,26
model20882.csv,15,6,20,26
model1134.csv,12,7,13,20
model49843.csv,16,6,20,26
model89189.csv,16,8,9,17
model21414.csv,10,7,3,10
model85853.csv,15,7,7,14
model111327.csv,13,6,19,25
model13745.csv,12,8,5,13
model20909.csv,14,7,19,26
model19327.csv,13,6,14,20
model59569.csv,13,8,12,20
model103413.csv,16,8,11,19
model115803.csv,13,7,7,14
model6312.csv,13,9,13,22
model93174.csv,18,9,14,23
model43312.csv,11,6,14,20
model42143.csv,13,7,17,24
model23929.csv,13,9,17,26
model25367.csv,12,7,12,19
model97525.csv,17,8,18,26
model80853.csv,13,7,19,26
model115599.csv,15,6,7,13
model78440.csv,13,7,4,11
model71258.csv,15,8,12,20
model6599.csv,12,7,16,23
model11359.csv,10,6,14,20
model55845.csv,14,7,17,24
model30955.csv,13,8,6,14
model108138.csv,14,7,16,23
model51349.csv,16,10,19,29
model32246.csv,9,6,22,28
model44899.csv,12,7,14,21
model87144.csv,17,7,13,20
model7078.csv,14,7,16,23
model28854.csv,15,8,15,23
model112613.csv,18,8,14,22
model100150.csv,11,6,4,10
model12506.csv,14,6,15,21
model1375.csv,13,8,10,18
model7819.csv,12,7,14,21
model19395.csv,15,10,11,21
model5330.csv,12,7,18,25
model4615.csv,13,7,15,22
model7050.csv,14,7,18,25
model90375.csv,13,7,15,22
model28590.csv,15,9,14,23
model48560.csv,12,6,19,25
model101713.csv,13,7,15,22
model10870.csv,11,6,7,13
model121083.csv,16,7,19,26
model68633.csv,15,6,14,20
model56721.csv,15,6,17,23
model42135.csv,13,8,16,24
model19962.csv,13,8,16,24
model116141.csv,12,6,3,9
model116754.csv,15,8,15,23
model108395.csv,17,8,12,20
model76676.csv,13,8,17,25
model36454.csv,16,7,19,26
model119859.csv,17,7,20,27
model15562.csv,14,8,17,25
model94314.csv,18,8,14,22
model63514.csv,15,6,16,22
model95615.csv,21,8,17,25
model52261.csv,16,6,17,23
model5084.csv,13,7,16,23
model20995.csv,18,7,16,23
model86391.csv,18,8,11,19
model84779.csv,16,9,15,24
model15024.csv,14,9,14,23
model58340.csv,16,7,19,26
model99055.csv,11,6,5,11
model97377.csv,11,6,21,27
model117875.csv,16,6,16,22
model23650.csv,14,7,18,25
model54708.csv,14,6,19,25
model28404.csv,13,8,19,27
model68643.csv,15,6,14,20
model14151.csv,14,7,13,20
model92698.csv,14,6,17,23
model105789.csv,13,6,10,16
model16589.csv,11,7,19,26
model11545.csv,14,8,11,19
model105311.csv,13,6,8,14
model25296.csv,14,8,10,18
model119365.csv,16,7,18,25
model119597.csv,15,7,21,28
model65274.csv,13,8,11,19
model47150.csv,16,9,17,26
model63713.csv,14,7,16,23
model77341.csv,17,7,13,20
model77927.csv,13,7,11,18
model30599.csv,12,7,18,25
model84491.csv,15,6,18,24
model2587.csv,10,6,5,11
model50640.csv,11,6,16,22
model50717.csv,13,6,19,25
model58163.csv,13,7,20,27
model60488.csv,14,7,4,11
model51794.csv,14,6,20,26
model86343.csv,16,7,14,21
model115527.csv,12,6,14,20
model107739.csv,16,9,13,22
model8075.csv,11,6,21,27
model107073.csv,16,7,17,24
model6213.csv,12,9,4,13
model21687.csv,15,7,20,27
model106622.csv,13,8,14,22
model30617.csv,16,8,18,26
model42602.csv,12,7,10,17
model67357.csv,13,7,16,23
model107166.csv,16,7,16,23
model29601.csv,12,7,16,23
model33144.csv,9,5,16,21
model44386.csv,17,7,14,21
model113863.csv,16,7,18,25
model24380.csv,12,7,20,27
model95645.csv,16,8,18,26
model36419.csv,17,8,19,27
model68048.csv,17,9,11,20
model90050.csv,16,8,13,21
model38073.csv,12,7,10,17
model36061.csv,13,6,19,25
model49135.csv,16,9,18,27
model5408.csv,13,7,21,28
model74824.csv,15,6,15,21
model18761.csv,15,7,11,18
model85771.csv,15,6,9,15
model63793.csv,13,6,18,24
model70991.csv,17,6,14,20
model18965.csv,11,9,2,11
model19336.csv,10,7,2,9
model10730.csv,10,7,10,17
model113834.csv,17,7,18,25
model121514.csv,18,9,17,26
model32343.csv,13,7,19,26
model78532.csv,13,8,12,20
model10447.csv,12,8,18,26
model72000.csv,16,9,8,17
model118703.csv,16,9,16,25
model117275.csv,13,6,11,17
model95454.csv,17,7,17,24
model111322.csv,15,7,16,23
model7361.csv,10,6,17,23
model32753.csv,16,10,20,30
model111607.csv,15,8,6,14
model29401.csv,12,6,18,24
model121470.csv,21,6,20,26
model46073.csv,15,7,19,26
model97896.csv,15,6,20,26
model45279.csv,14,8,16,24
model73985.csv,15,7,15,22
model111715.csv,18,8,10,18
model94194.csv,15,8,16,24
model32360.csv,12,6,21,27
model114843.csv,18,6,20,26
model17107.csv,13,7,13,20
model4657.csv,11,6,14,20
model123568.csv,17,6,20,26
model10444.csv,12,7,20,27
model34314.csv,15,7,20,27
model41727.csv,15,6,19,25
model34063.csv,14,7,21,28
model80253.csv,14,7,16,23
model58180.csv,15,8,18,26
model61815.csv,14,7,13,20
model68443.csv,17,8,12,20
model55651.csv,13,8,16,24
model77899.csv,11,7,12,19
model116790.csv,13,7,18,25
model20780.csv,16,7,16,23
model82046.csv,14,6,17,23
model30995.csv,14,8,15,23
model94293.csv,18,6,16,22
model73767.csv,17,8,14,22
model40787.csv,13,6,17,23
model89318.csv,16,8,9,17
model41514.csv,14,7,15,22
model22354.csv,15,9,18,27
model59173.csv,12,7,11,18
model50468.csv,12,6,18,24
model60090.csv,14,10,10,20
model78413.csv,13,7,10,17
model34113.csv,14,7,21,28
model77973.csv,13,9,8,17
model70185.csv,14,10,2,12
model29003.csv,15,7,19,26
model107543.csv,13,7,7,14
model55076.csv,14,7,16,23
model115334.csv,15,7,18,25
model64789.csv,13,9,11,20
model101332.csv,14,8,13,21
model6189.csv,10,7,18,25
model7306.csv,12,8,19,27
model33824.csv,15,8,20,28
model44407.csv,15,8,13,21
model73948.csv,15,7,6,13
model98931.csv,13,6,9,15
model12685.csv,12,8,17,25
model105390.csv,13,6,7,13
model43748.csv,14,8,12,20
model79983.csv,15,6,18,24
model47318.csv,13,6,19,25
model41740.csv,14,7,18,25
model77916.csv,13,9,10,19
model15554.csv,12,8,19,27
model118689.csv,16,9,16,25
model117719.csv,16,6,15,21
model65603.csv,13,6,11,17
model29281.csv,17,8,19,27
model45614.csv,13,6,8,14
model112028.csv,16,7,14,21
model86517.csv,15,6,15,21
model20839.csv,14,7,18,25
model121863.csv,19,11,15,26
model21540.csv,15,12,3,15
model48751.csv,11,7,8,15
model106405.csv,16,10,13,23
model32816.csv,16,7,22,29
model21805.csv,14,6,22,28
model13615.csv,11,6,15,21
model44802.csv,14,8,12,20
model116214.csv,12,7,3,10
model87100.csv,15,7,13,20
model53801.csv,12,6,18,24
model16625.csv,13,7,15,22
model33073.csv,14,7,19,26
model36266.csv,14,6,21,27
model67082.csv,17,9,10,19
model73174.csv,16,8,11,19
model105787.csv,13,7,10,17
model99677.csv,11,6,1,7
model47499.csv,15,7,17,24
model61584.csv,12,9,14,23
model85698.csv,14,7,11,18
model81487.csv,13,7,6,13
model116062.csv,12,6,5,11
model90040.csv,14,7,14,21
model33620.csv,12,7,21,28
model9153.csv,14,7,20,27
model112414.csv,18,8,12,20
model116680.csv,14,6,18,24
model120296.csv,15,8,20,28
model99108.csv,14,8,7,15
model15373.csv,15,7,13,20
model122602.csv,15,9,18,27
model30709.csv,14,6,20,26
model45862.csv,12,6,9,15
model59801.csv,14,8,9,17
model70051.csv,11,6,16,22
model49257.csv,17,6,20,26
model24823.csv,12,6,11,17
model48084.csv,16,6,20,26
model12153.csv,15,9,14,23
model38729.csv,15,6,13,19
model17197.csv,13,8,18,26
model54229.csv,15,6,20,26
model31329.csv,16,8,18,26
model54047.csv,15,7,18,25
model71286.csv,17,8,12,20
model45084.csv,12,8,19,27
model107764.csv,16,7,15,22
model85042.csv,13,7,11,18
model7251.csv,10,6,20,26
model101902.csv,14,8,9,17
model89290.csv,13,8,12,20
model11192.csv,11,8,13,21
model122216.csv,12,6,22,28
model49534.csv,14,8,6,14
model60330.csv,12,7,13,20
model90864.csv,17,10,13,23
model66707.csv,16,8,13,21
model58444.csv,15,8,18,26
model17353.csv,13,6,20,26
model120138.csv,18,7,20,27
model28788.csv,14,6,18,24
model1529.csv,10,7,3,10
model79966.csv,15,7,18,25
model7375.csv,11,6,16,22
model109890.csv,12,6,20,26
model4935.csv,14,6,14,20
model15881.csv,15,6,16,22
model29169.csv,13,7,20,27
model96801.csv,16,6,15,21
model119711.csv,17,8,18,26
model23190.csv,14,8,16,24
model104591.csv,17,6,13,19
model58280.csv,14,7,18,25
model121261.csv,20,8,18,26
model29603.csv,13,7,16,23
model76075.csv,15,6,14,20
model60265.csv,11,6,13,19
model88653.csv,17,7,14,21
model117333.csv,15,9,13,22
model115333.csv,15,7,18,25
model40015.csv,17,10,9,19
model83226.csv,13,6,15,21
model118846.csv,15,6,19,25
model3887.csv,13,9,13,22
model62770.csv,12,7,14,21
model108379.csv,16,7,13,20
model98211.csv,17,7,19,26
model23339.csv,16,9,17,26
model90966.csv,15,7,16,23
model87876.csv,15,9,3,12
model103723.csv,13,8,11,19
model94788.csv,16,7,17,24
model11255.csv,13,7,11,18
model71502.csv,16,10,10,20
model76390.csv,14,6,15,21
model15744.csv,13,8,15,23
model41230.csv,15,8,16,24
model115697.csv,16,8,11,19
model90301.csv,15,6,14,20
model39772.csv,13,7,6,13
model31156.csv,14,11,4,15
model114177.csv,15,7,19,26
model45032.csv,13,7,13,20
model75279.csv,19,12,12,24
model102925.csv,17,7,10,17
model103479.csv,15,8,11,19
model109771.csv,18,6,17,23
model110699.csv,16,6,15,21
model77636.csv,18,7,13,20
model6497.csv,12,9,13,22
model38716.csv,13,7,14,21
model122074.csv,13,6,21,27
model117247.csv,13,6,8,14
model73925.csv,15,6,15,21
model60827.csv,15,9,12,21
model118155.csv,14,9,6,15
model11597.csv,10,7,0,7
model67895.csv,16,9,13,22
model89605.csv,16,7,11,18
model53942.csv,14,7,18,25
model27120.csv,13,8,16,24
model90054.csv,16,8,12,20
model101215.csv,8,6,4,10
model94203.csv,18,6,16,22
model118719.csv,15,7,19,26
model16694.csv,11,8,15,23
model63332.csv,13,7,15,22
model111263.csv,15,8,16,24
model23706.csv,11,6,20,26
model15534.csv,12,8,18,26
model66068.csv,13,7,12,19
model80435.csv,12,6,18,24
model102795.csv,15,7,11,18
model39689.csv,14,7,17,24
model78903.csv,13,8,13,21
model94081.csv,19,7,16,23
model2139.csv,12,9,15,24
model116818.csv,11,6,8,14
model5923.csv,12,8,14,22
model46807.csv,17,8,14,22
model95267.csv,16,6,20,26
model32943.csv,15,6,22,28
model91873.csv,13,6,19,25
model86829.csv,17,7,12,19
model36821.csv,13,7,18,25
model31814.csv,15,10,16,26
model48331.csv,14,6,19,25
model103212.csv,15,8,10,18
model23246.csv,13,9,18,27
model2989.csv,14,7,14,21
model74905.csv,17,6,16,22
model76986.csv,19,10,12,22
model76094.csv,14,6,15,21
model95379.csv,17,7,17,24
model43293.csv,13,8,13,21
model77760.csv,11,6,10,16
model82257.csv,14,7,16,23
model36562.csv,11,8,7,15
model29653.csv,13,6,6,12
model58916.csv,10,6,1,7
model48445.csv,16,8,17,25
model42441.csv,11,6,9,15
model117206.csv,12,7,6,13
model42207.csv,14,6,16,22
model59488.csv,13,10,10,20
model26696.csv,12,7,6,13
model123302.csv,16,7,19,26
model59279.csv,11,6,3,9
model84077.csv,13,6,20,26
model114194.csv,15,7,19,26
model106038.csv,12,6,17,23
model56329.csv,16,7,18,25
model315.csv,6,6,0,6
model67388.csv,16,7,13,20
model80889.csv,13,7,19,26
model69720.csv,14,7,13,20
model88499.csv,14,8,14,22
model43037.csv,15,7,12,19
model17711.csv,13,8,12,20
model105605.csv,15,8,14,22
model109638.csv,19,7,16,23
model99923.csv,16,7,12,19
model6121.csv,11,8,14,22
model41054.csv,17,6,17,23
model110164.csv,13,6,8,14
model64068.csv,12,6,14,20
model5864.csv,13,7,19,26
model70133.csv,15,8,12,20
model114029.csv,17,8,19,27
model45115.csv,13,6,19,25
model67944.csv,16,8,11,19
model8312.csv,10,6,18,24
model16930.csv,13,8,17,25
model88830.csv,11,7,11,18
model34307.csv,14,8,21,29
model65893.csv,11,8,5,13
model72225.csv,14,10,11,21
model121080.csv,15,8,19,27
model78195.csv,12,8,12,20
model20990.csv,18,9,15,24
model45856.csv,11,8,5,13
model122579.csv,13,6,20,26
model122184.csv,12,6,21,27
model55278.csv,13,6,6,12
model112009.csv,17,10,11,21
model112297.csv,12,8,1,9
model25772.csv,14,9,11,20
model11304.csv,10,7,3,10
model30976.csv,14,8,16,24
model18273.csv,14,6,13,19
model12521.csv,16,12,11,23
model70673.csv,15,10,12,22
model117492.csv,16,10,4,14
model118361.csv,14,8,13,21
model36468.csv,14,6,19,25
model30254.csv,13,7,17,24
model71539.csv,13,7,14,21
model107723.csv,17,10,12,22
model55923.csv,13,6,17,23
model45437.csv,12,7,2,9
model74415.csv,18,9,14,23
model105816.csv,12,9,3,12
model43650.csv,14,7,10,17
model907.csv,13,10,11,21
model86226.csv,13,6,6,12
model115015.csv,17,6,19,25
model61451.csv,12,7,4,11
model58691.csv,12,7,6,13
model86974.csv,14,8,5,13
model45416.csv,16,10,13,23
model120954.csv,18,8,19,27
model12533.csv,14,6,16,22
model48762.csv,12,8,9,17
model11339.csv,13,7,13,20
model88871.csv,11,7,3,10
model47325.csv,14,6,18,24
model120823.csv,15,6,21,27
model121940.csv,16,6,20,26
model65489.csv,13,8,8,16
model110285.csv,14,6,15,21
model85374.csv,15,9,7,16
model49468.csv,13,7,19,26
model71874.csv,17,9,6,15
model9722.csv,15,8,13,21
model77545.csv,17,8,13,21
model19121.csv,16,6,14,20
model4238.csv,10,6,15,21
model28539.csv,12,8,5,13
model66346.csv,15,7,10,17
model81185.csv,15,8,16,24
model99338.csv,14,7,7,14
model42555.csv,11,7,2,9
model25135.csv,14,9,9,18
model100787.csv,12,6,12,18
model28694.csv,14,7,13,20
model4904.csv,15,7,13,20
model60664.csv,13,9,3,12
model7413.csv,10,5,14,19
model20771.csv,17,7,16,23
model106457.csv,16,8,15,23
model110301.csv,14,6,15,21
model68682.csv,15,7,15,22
model45341.csv,14,7,14,21
model72788.csv,14,7,3,10
model26520.csv,15,9,15,24
model98876.csv,11,6,5,11
model20204.csv,15,6,13,19
model51267.csv,12,7,22,29
model114232.csv,17,9,18,27
model84778.csv,15,7,18,25
model16717.csv,14,10,12,22
model71946.csv,12,11,0,11
model8103.csv,9,6,22,28
model58709.csv,9,7,0,7
model64748.csv,15,11,8,19
model92673.csv,15,7,16,23
model36574.csv,11,6,8,14
model55757.csv,12,7,8,15
model11794.csv,10,7,13,20
model106996.csv,14,6,19,25
model64160.csv,14,6,13,19
model40474.csv,14,9,17,26
model104216.csv,13,6,11,17
model100526.csv,16,8,12,20
model48266.csv,15,6,21,27
model68798.csv,16,9,12,21
model90525.csv,16,6,12,18
model17513.csv,13,7,16,23
model74544.csv,14,8,6,14
model76648.csv,16,8,15,23
model105080.csv,16,7,15,22
model39178.csv,15,7,14,21
model113009.csv,17,7,14,21
model22748.csv,12,8,7,15
model111800.csv,15,9,6,15
model57852.csv,19,7,19,26
model113287.csv,17,11,15,26
model16182.csv,12,8,5,13
model92148.csv,18,8,15,23
model10998.csv,13,7,12,19
model108485.csv,15,6,8,14
model6605.csv,11,7,16,23
model12658.csv,10,6,17,23
model42987.csv,13,6,13,19
model15638.csv,10,6,21,27
model49213.csv,17,10,17,27
model79815.csv,13,7,14,21
model60960.csv,13,6,13,19
model89744.csv,13,7,8,15
model36781.csv,12,6,19,25
model8935.csv,11,6,5,11
model100295.csv,13,6,10,16
model68398.csv,13,9,1,10
model77514.csv,17,7,13,20
model16640.csv,13,6,16,22
model56733.csv,15,10,14,24
model116933.csv,15,6,13,19
model93697.csv,15,6,17,23
model41851.csv,10,7,7,14
model6678.csv,14,7,18,25
model105445.csv,15,7,15,22
model17480.csv,10,7,19,26
model57003.csv,13,7,19,26
model60659.csv,13,7,4,11
model98248.csv,13,8,19,27
model42007.csv,14,6,17,23
model61726.csv,13,7,14,21
model97132.csv,16,7,16,23
model85092.csv,17,7,9,16
model91383.csv,14,6,12,18
model47203.csv,13,7,19,26
model33352.csv,11,6,21,27
model81508.csv,15,7,13,20
model66013.csv,13,7,13,20
model13173.csv,14,8,15,23
model101221.csv,10,6,4,10
model119099.csv,15,7,19,26
model25966.csv,11,6,13,19
model81367.csv,12,9,3,12
model48071.csv,15,7,16,23
model65724.csv,14,7,9,16
model106492.csv,13,6,16,22
model28918.csv,13,7,13,20
model42540.csv,13,8,9,17
model18451.csv,14,7,12,19
model82441.csv,16,8,14,22
model54725.csv,13,6,20,26
model5237.csv,12,8,14,22
model88455.csv,16,8,14,22
model47151.csv,16,9,16,25
model11882.csv,11,7,9,16
model63764.csv,14,7,16,23
model96859.csv,15,7,17,24
model3378.csv,11,6,14,20
model117890.csv,13,6,17,23
model19916.csv,12,6,20,26
model111893.csv,17,8,10,18
model49492.csv,13,7,8,15
model36036.csv,15,7,18,25
model32225.csv,13,8,19,27
model39295.csv,12,6,13,19
model42105.csv,12,6,19,25
model104490.csv,15,7,14,21
model42139.csv,12,6,17,23
model36710.csv,10,7,10,17
model38385.csv,15,7,10,17
model65797.csv,16,7,8,15
model93333.csv,17,7,14,21
model113286.csv,17,8,17,25
model9927.csv,15,7,19,26
model11004.csv,12,7,12,19
model11371.csv,13,7,12,19
model61583.csv,13,9,13,22
model26644.csv,15,7,16,23
model65874.csv,12,8,9,17
model74526.csv,14,7,6,13
model5471.csv,10,8,21,29
model39636.csv,14,7,17,24
model31805.csv,13,8,18,26
model4382.csv,12,6,18,24
model69959.csv,13,8,4,12
model32070.csv,12,7,9,16
model123502.csv,18,7,19,26
model71461.csv,16,7,13,20
model107435.csv,15,7,13,20
model32254.csv,10,8,4,12
model74671.csv,14,6,15,21
model107348.csv,12,7,4,11
model92289.csv,14,8,18,26
model78351.csv,12,8,12,20
model83282.csv,12,6,15,21
model11549.csv,12,7,12,19
model99731.csv,14,7,7,14
model108264.csv,10,6,3,9
model35628.csv,12,8,19,27
model110393.csv,15,7,6,13
model62636.csv,13,6,14,20
model40020.csv,16,6,13,19
model121629.csv,14,8,20,28
model57300.csv,14,7,21,28
model78557.csv,16,6,11,17
model106479.csv,13,6,17,23
model65514.csv,13,8,2,10
model10649.csv,11,6,15,21
model99045.csv,11,7,2,9
model69985.csv,14,6,14,20
model43826.csv,15,6,12,18
model31912.csv,13,10,16,26
model68449.csv,16,9,12,21
model50152.csv,15,8,19,27
model32771.csv,14,6,22,28
model70106.csv,15,7,13,20
model39477.csv,13,7,15,22
model57548.csv,16,8,17,25
model15835.csv,13,6,14,20
model28341.csv,12,7,20,27
model78028.csv,15,7,11,18
model12496.csv,15,6,14,20
model52192.csv,13,7,12,19
model94533.csv,14,7,13,20
model119788.csv,15,7,21,28
model27681.csv,14,6,16,22
model96109.csv,14,6,9,15
model107988.csv,18,8,14,22
model89214.csv,13,8,3,11
model103749.csv,14,8,11,19
model19632.csv,13,6,16,22
model56269.csv,17,6,16,22
model63979.csv,16,7,13,20
model62554.csv,16,7,11,18
model53391.csv,17,9,15,24
model77808.csv,12,6,11,17
model78283.csv,13,7,13,20
model19523.csv,14,8,14,22
model51532.csv,11,7,22,29
model118662.csv,14,7,19,26
model83565.csv,14,7,18,25
model27985.csv,15,6,16,22
model94260.csv,17,6,16,22
model106865.csv,13,6,19,25
model13774.csv,15,7,12,19
model75174.csv,13,6,18,24
model10985.csv,10,7,13,20
model108045.csv,17,6,16,22
model41309.csv,13,8,7,15
model73236.csv,13,6,16,22
model30114.csv,15,6,20,26
model37322.csv,16,8,18,26
model97005.csv,11,7,13,20
model53638.csv,17,9,14,23
model51041.csv,14,6,21,27
model99222.csv,16,8,11,19
model119747.csv,17,6,20,26
model37604.csv,14,7,21,28
model46735.csv,14,7,14,21
model38899.csv,14,8,9,17
model15861.csv,15,9,15,24
model41481.csv,15,7,15,22
model97690.csv,17,6,20,26
model37231.csv,16,7,19,26
model98479.csv,10,6,4,10
model29358.csv,10,5,14,19
model22486.csv,14,9,20,29
model24483.csv,14,9,16,25
model18796.csv,16,7,10,17
model94204.csv,18,7,16,23
model83200.csv,12,6,8,14
model87363.csv,19,9,14,23
model116522.csv,15,6,16,22
model2615.csv,10,6,12,18
model48050.csv,15,9,16,25
model25470.csv,15,8,11,19
model121615.csv,20,8,19,27
model28343.csv,14,10,16,26
model64290.csv,9,7,2,9
model106543.csv,11,6,11,17
model45699.csv,14,6,5,11
model71932.csv,15,7,9,16
model64778.csv,14,6,11,17
model7469.csv,12,7,13,20
model64940.csv,13,6,11,17
model79997.csv,15,7,17,24
model116454.csv,17,9,14,23
model72898.csv,16,6,12,18
model11935.csv,14,9,11,20
model60959.csv,15,7,12,19
model77653.csv,17,6,15,21
model82194.csv,17,7,15,22
model40656.csv,13,7,3,10
model8720.csv,13,9,18,27
model25329.csv,14,7,12,19
model91110.csv,14,6,7,13
model68728.csv,14,7,17,24
model16932.csv,13,6,20,26
model83063.csv,18,9,15,24
model75106.csv,15,6,15,21
model44659.csv,13,6,16,22
model29569.csv,11,6,14,20
model87573.csv,13,6,6,12
model41577.csv,14,7,17,24
model46113.csv,16,10,16,26
model95834.csv,14,6,13,19
model106252.csv,14,7,10,17
model111763.csv,16,7,12,19
model68195.csv,15,7,15,22
model36616.csv,11,6,15,21
model107933.csv,19,7,14,21
model83752.csv,17,9,15,24
model43883.csv,14,6,12,18
model25973.csv,11,7,13,20
model52319.csv,16,7,16,23
model73433.csv,17,8,11,19
model54827.csv,13,6,5,11
model17939.csv,9,8,0,8
model86319.csv,17,7,14,21
model12723.csv,12,6,17,23
model42878.csv,11,8,10,18
model79524.csv,13,6,17,23
model82462.csv,15,6,16,22
model28701.csv,16,7,16,23
model19113.csv,15,7,14,21
model98244.csv,13,6,20,26
model26189.csv,13,8,13,21
model69408.csv,12,6,13,19
model15082.csv,10,7,4,11
model25892.csv,14,10,11,21
model115953.csv,14,6,15,21
model76541.csv,16,9,15,24
model62643.csv,13,7,14,21
model79931.csv,14,7,15,22
model96386.csv,15,7,16,23
model56083.csv,14,7,15,22
model2328.csv,11,7,12,19
model72837.csv,14,7,9,16
model92291.csv,15,8,17,25
model2197.csv,14,9,14,23
model73280.csv,12,7,4,11
model33365.csv,12,7,19,26
model8061.csv,11,6,21,27
model9476.csv,11,7,20,27
model33863.csv,15,10,19,29
model24496.csv,16,9,15,24
model29234.csv,14,7,20,27
model12440.csv,13,6,16,22
model115458.csv,13,8,10,18
model41320.csv,14,6,11,17
model5201.csv,12,9,13,22
model50642.csv,13,7,14,21
model28477.csv,13,7,16,23
model56863.csv,11,6,18,24
model71994.csv,15,7,10,17
model46292.csv,13,10,16,26
model5005.csv,15,7,17,24
model121850.csv,18,7,19,26
model53972.csv,14,7,18,25
model57128.csv,12,7,22,29
model122928.csv,17,8,18,26
model48936.csv,14,6,19,25
model72525.csv,15,10,10,20
model22683.csv,14,7,7,14
model42348.csv,9,6,5,11
model32245.csv,10,7,21,28
model45633.csv,15,6,14,20
model14852.csv,16,6,19,25
model42789.csv,13,7,10,17
model111136.csv,18,8,14,22
model43956.csv,12,9,4,13
model119057.csv,18,7,19,26
model66631.csv,13,7,15,22
model6398.csv,13,8,16,24
model89334.csv,14,8,11,19
model122103.csv,16,8,19,27
model109870.csv,15,7,17,24
model66265.csv,15,7,10,17
model92960.csv,16,6,13,19
model113400.csv,12,6,21,27
model61423.csv,11,7,16,23
model2839.csv,11,6,17,23
model30178.csv,11,6,20,26
model91098.csv,13,6,8,14
model16452.csv,12,6,20,26
model42903.csv,14,7,9,16
model54505.csv,17,7,18,25
model117879.csv,16,9,14,23
model21984.csv,13,6,7,13
model48678.csv,15,8,14,22
model99720.csv,14,7,5,12
model227.csv,9,6,14,20
model14364.csv,16,8,13,21
model33016.csv,15,8,20,28
model116979.csv,15,8,11,19
model75744.csv,18,12,9,21
model112173.csv,14,9,2,11
model43583.csv,12,8,9,17
model17552.csv,11,6,16,22
model101588.csv,12,6,16,22
model104933.csv,15,8,14,22
model32789.csv,15,7,22,29
model94685.csv,19,7,16,23
model98003.csv,15,6,19,25
model98693.csv,12,8,10,18
model34442.csv,14,6,21,27
model86583.csv,16,7,11,18
model34734.csv,13,7,22,29
model27919.csv,12,9,4,13
model30360.csv,14,8,6,14
model57925.csv,13,7,20,27
model95024.csv,19,9,15,24
model40117.csv,12,9,6,15
model23267.csv,15,11,4,15
model44384.csv,17,6,14,20
model112948.csv,13,6,15,21
model44470.csv,10,7,3,10
model20979.csv,16,10,14,24
model87307.csv,16,7,16,23
model50490.csv,11,7,8,15
model88242.csv,17,8,13,21
model99805.csv,15,7,4,11
model5213.csv,12,8,13,21
model50110.csv,17,6,21,27
model7793.csv,11,8,13,21
model62095.csv,14,9,10,19
model102303.csv,13,8,3,11
model99607.csv,16,8,12,20
model6212.csv,12,6,6,12
model100240.csv,11,7,4,11
model55731.csv,12,7,17,24
model76416.csv,15,6,6,12
model114111.csv,17,6,21,27
model53403.csv,17,8,16,24
model52990.csv,15,7,14,21
model99570.csv,17,10,9,19
model43095.csv,11,7,3,10
model101904.csv,14,6,10,16
model56606.csv,11,6,9,15
model88861.csv,15,6,9,15
model26752.csv,10,5,15,20
model19112.csv,15,9,13,22
model74353.csv,17,7,15,22
model32059.csv,13,6,9,15
model51505.csv,14,7,21,28
model64315.csv,11,7,1,8
model37745.csv,13,7,19,26
model102376.csv,15,7,11,18
model46104.csv,16,7,19,26
model31512.csv,13,6,21,27
model43327.csv,14,7,11,18
model26390.csv,12,8,12,20
model103037.csv,16,9,11,20
model25814.csv,15,9,10,19
model83381.csv,14,6,8,14
model2669.csv,12,7,12,19
model94598.csv,15,7,16,23
model28508.csv,12,7,17,24
model58891.csv,10,7,8,15
model48300.csv,16,7,19,26
model112743.csv,13,8,8,16
model56990.csv,14,8,17,25
model107091.csv,17,7,16,23
model123688.csv,17,10,16,26
model48485.csv,16,8,17,25
model38550.csv,14,7,9,16
model11693.csv,12,7,14,21
model8610.csv,13,9,18,27
model84730.csv,13,6,20,26
model20770.csv,17,7,15,22
model84475.csv,15,7,19,26
model56921.csv,12,7,19,26
model85117.csv,15,8,9,17
model22174.csv,13,8,16,24
model23206.csv,15,8,18,26
model69938.csv,11,8,1,9
model89869.csv,16,8,11,19
model45728.csv,15,8,11,19
model119984.csv,19,6,20,26
model7434.csv,11,6,14,20
model56768.csv,13,6,17,23
model24293.csv,16,6,17,23
model91854.csv,14,7,18,25
model24914.csv,14,9,8,17
model97050.csv,15,7,15,22
model70405.csv,15,6,15,21
model55081.csv,14,8,16,24
